NaN,0
0.018164,100
0.015454,200
0.015344,300
0.014832,400
0.014921,500
0.010101,600
0.0091554,700
0.0080649,800
0.0080289,900
0.0076332,1000
0.0071554,1100
0.0060734,1200
0.0041802,1300
0.0038724,1400
0.0046531,1500
0.0048712,1600
0.005543,1700
0.0065304,1800
0.0079578,1900
0.010593,2000
0.012588,2100
0.013789,2200
0.012354,2300
0.010683,2400
0.0086007,2500
0.0077674,2600
0.0073578,2700
0.0079166,2800
0.0093184,2900
0.012305,3000
0.014586,3100
0.020141,3200
0.025273,3300
0.030326,3400
0.035654,3500
0.041392,3600
0.046294,3700
0.050844,3800
0.055171,3900
0.058906,4000
0.061745,4100
0.06385,4200
0.06569,4300
0.067249,4400
0.06832,4500
0.06909,4600
0.069543,4700
0.069738,4800
0.070908,4900
0.072265,5000
0.073552,5100
0.074993,5200
0.076025,5300
0.076445,5400
0.076483,5500
0.076289,5600
0.076063,5700
0.075999,5800
0.075802,5900
0.075469,6000
0.075015,6100
0.073908,6200
0.072632,6300
0.071446,6400
0.06986,6500
0.067709,6600
0.065567,6700
0.065092,6800
0.06476,6900
0.064336,7000
0.064064,7100
0.064943,7200
0.065949,7300
0.066865,7400
0.067709,7500
0.068522,7600
0.069218,7700
0.07036,7800
0.071369,7900
0.07259,8000
0.07383,8100
0.074725,8200
0.075463,8300
0.076352,8400
0.076923,8500
0.07678,8600
0.076583,8700
0.075849,8800
0.074764,8900
0.07354,9000
0.071911,9100
0.069863,9200
0.067621,9300
0.065203,9400
0.062132,9500
0.057583,9600
0.052496,9700
0.047294,9800
0.041578,9900
0.035519,10000
0.028387,10100
0.020778,10200
0.012664,10300
0.0045151,10400
-0.0039064,10500
-0.012162,10600
-0.020676,10700
-0.034001,10800
-0.047741,10900
-0.062158,11000
-0.077607,11100
-0.095372,11200
-0.11293,11300
-0.13095,11400
-0.12468,11500
-0.14248,11600
-0.1595,11700
-0.17606,11800
-0.14936,11900
-0.09879,12000
-0.11107,12100
-0.1235,12200
-0.13935,12300
-0.15626,12400
-0.17428,12500
-0.19764,12600
-0.22477,12700
-0.25071,12800
-0.27127,12900
-0.292,13000
-0.28893,13100
-0.21894,13200
-0.23645,13300
-0.25479,13400
-0.22345,13500
-0.24467,13600
-0.26608,13700
-0.2872,13800
-0.30894,13900
-0.33054,14000
-0.35132,14100
-0.37289,14200
-0.39885,14300
-0.42478,14400
-0.45054,14500
-0.32664,14600
-0.35756,14700
-0.38955,14800
-0.42122,14900
-0.46776,15000
-0.49122,15100
-0.4489,15200
NaN,15300
NaN,15400
NaN,15500
NaN,15600
NaN,15700
NaN,15800
NaN,15900
NaN,16000
NaN,16100
NaN,16200
NaN,16300
NaN,16400
NaN,16500
NaN,16600
NaN,16700
NaN,16800
NaN,16900
NaN,17000
NaN,17100
NaN,17200
NaN,17300
NaN,17400
NaN,17500
NaN,17600
NaN,17700
NaN,17800
NaN,17900
NaN,18000
NaN,18100
NaN,18200
NaN,18300
NaN,18400
NaN,18500
NaN,18600
NaN,18700
NaN,18800
NaN,18900
NaN,19000
NaN,19100
NaN,19200
NaN,19300
NaN,19400
NaN,19500
NaN,19600
NaN,19700
NaN,19800
NaN,19900
NaN,20000
NaN,20100
NaN,20200
NaN,20300
NaN,20400
NaN,20500
NaN,20600
NaN,20700
NaN,20800
NaN,20900
NaN,21000
NaN,21100
NaN,21200
NaN,21300
NaN,21400
NaN,21500
NaN,21600
NaN,21700
NaN,21800
NaN,21900
NaN,22000
NaN,22100
NaN,22200
NaN,22300
NaN,22400
NaN,22500
NaN,22600
NaN,22700
NaN,22800
NaN,22900
NaN,23000
NaN,23100
NaN,23200
NaN,23300
NaN,23400
NaN,23500
NaN,23600
NaN,23700
NaN,23800
NaN,23900
NaN,24000
NaN,24100
NaN,24200
NaN,24300
NaN,24400
NaN,24500
NaN,24600
NaN,24700
NaN,24800
NaN,24900
NaN,25000
